id_activity;year;id_type;name_congress;date;location
100;2020;;I. Anegon;;Member of the organizing committee of the Second FOCIS Goes South Advanced Course in Immunology and Immunotherapy. October 19-2nd 2020, Santiago de Chile.
101;2020;;C. Guillonneau;;Chairwoman of the NAT-IGO joint meeting 2020 “New horizons in immunotherapy”, Nantes (postponed to 2021 due to covid19).
102;2018;;C. Guillonneau;;3rd Labex IGO meeting, Nantes, France October 21-23 2018
103;2016;;C. Guillonneau;;2nd Labex IGO meeting, Nantes, France April 21-22 2016
104;2016;;C. Guillonneau;;Co-organizer of the 21st Nantes Actualités Transplantation congress “When stem cells meet Immunology”, June 2016, Nantes.
105;2016;;C. Guillonneau;;2nd Labex IGO meeting, Nantes, France April 21-22 2016
106;2016;;K. Asehnoune;;Cloture symposia of ARMINA, june 2016
107;2018;;J. Caillon/D. Boutoille/K. Asehnoune;;Journées nationales d'infectiologie, Nantes Juin 2018
108;2016;;A. Roquilly;;58th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2016
109;2016;;J. Caillon;;36ème RICAI (Réunion interdisciplinaire de chimiothérapie anti-infectieuse) : PK/PD des beta-lactamines : Comment doper les anciennes? Paris, Décembre 2016
110;2016;;K. Asehnoune;;57th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2016
111;2017;;A. Roquilly;;59th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2017
112;2017;;J. Caillon;;37ème RICAI (Réunion interdisciplinaire de chimiothérapie anti-infectieuse) : Physiopathologie et modèles animaux, Paris, Décembre 2017
113;2017;;K. Asehnoune;;58th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2016
114;2018;;A. Roquilly;;60th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2018
115;2018;;A. Roquilly;;Journées nationales d'infectiologie, Nantes Juin 2018: session orale
116;2018;;J. Caillon;;38ème RICAI (Réunion interdisciplinaire de chimiothérapie anti-infectieuse) : Infections des prothèses vasculaires : diagnostic et traitement, Paris, Décembre 2018
